,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
1340,Streets of Rage 4,Switch,2020-04-30,86,8.4,"DotEmu,SeavenStudio,GuardCrushGames,Lizardcube","General,Action,Beat-'Em-Up,2D",2 ,15,133
11878,Resident Evil Code: Veronica X HD,Xbox360,2011-09-27,67,8.4,Capcom,"Action Adventure,Horror,Horror,Survival",1 Player,28,59
1331,Tomb Raider,PC,2013-03-04,86,8.4,"CrystalDynamics,NixxesSoftware","Action Adventure,Modern,General,Modern,Linear",No info,18,4412
4088,A Short Hike,PC,2019-07-30,80,8.4,adamgryu,"Adventure,General",No Online Multiplayer,8,77
4151,Star Wars: Battlefront,Xbox,2004-09-20,80,8.4,PandemicStudios,"Action,Shooter,First-Person,Sci-Fi",16  Online,55,80
456,Sid Meier's Civilization III,PC,2001-10-30,90,8.4,FiraxisGames,"Strategy,Turn-Based,Historic,Historic,4X",1 Player,24,325
11575,Golden Axe,Xbox360,2007-07-11,68,8.4,BackboneEntertainment,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",2  Online,10,11
70,Tony Hawk's Pro Skater 4,PlayStation2,2002-10-23,94,8.4,NeversoftEntertainment,"Sports,Alternative,Skateboarding",1-8 ,27,182
4146,A Boy and His Blob,Wii,2009-10-13,80,8.4,WayForward,"Action,Miscellaneous,Platformer,Puzzle,Puzzle,Platformer,2D,General,2D",No Online Multiplayer,43,40
11316,NASCAR 07,PlayStation2,2006-09-06,68,8.4,EATiburon,"Driving,Racing,Stock Car",4  Online,26,17
11363,Vandal Hearts: Flames of Judgment,Xbox360,2010-01-20,68,8.4,HijinxStudios,"Role-Playing,Strategy,Turn-Based,Console-style RPG,Console-style RPG,Tactics",No info,32,18
792,Rayman Origins,PlayStationVita,2012-02-15,88,8.4,UBlartMontpellier,"Action Adventure,Fantasy,Action,Platformer,Platformer,2D,2D",No info,54,324
1464,Mini Metro,Switch,2018-08-30,86,8.4,"RadialGamesCorp.,DinosaurPoloClub","Strategy,Management,Government",No Online Multiplayer,9,32
791,Shovel Knight,WiiU,2014-06-26,88,8.4,YachtClubGames,"Platformer,2D,Action,Platformer,2D",No info,24,311
11586,Gungrave: Overdose,PlayStation2,2004-09-15,68,8.4,SetaCorporation,"Action,Shooter,Third-Person,Fantasy",1 Player,50,17
1461,Sonic Mania,Switch,2017-08-15,86,8.4,Tantalus,"Action,Platformer,2D",No Online Multiplayer,21,728
49,Gran Turismo 3: A-Spec,PlayStation2,2001-07-09,95,8.4,PolyphonyDigital,"Driving,Racing,GT / Street",1-2 ,54,386
790,The Secret of Monkey Island: Special Edition,Xbox360,2009-07-15,88,8.4,LucasArts,"Adventure,General,General,Point-and-Click",1 Player,35,84
4123,Mega Man Legacy Collection,XboxOne,2015-08-25,80,8.4,DigitalEclipse,"Miscellaneous,Compilation",No info,30,82
11461,Tesla Effect: A Tex Murphy Adventure,PC,2014-05-07,68,8.4,BigFinishGames,"Adventure,General,General",No Online Multiplayer,33,175
786,DOOM Eternal,XboxOne,2020-03-19,88,8.4,idSoftware,"Action,Shooter,First-Person,Arcade",Up to 3 ,33,958
1443,Assault Android Cactus+,Switch,2019-03-08,86,8.4,WitchBeam,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,11,33
1424,DJ Hero 2,Xbox360,2010-10-19,86,8.4,FreeStyleGames,"Action,Miscellaneous,Rhythm,Music,Music",No info,66,24
50,Halo 2,Xbox,2004-11-09,95,8.4,BungieSoftware,"Action,Shooter,First-Person,Sci-Fi",1-16 ,91,1656
10415,Mat Hoffman's Pro BMX 2,GameCube,2002-10-08,70,8.4,RainbowStudios,"Sports,Alternative,Biking",1-2 ,12,5
10382,Garfield's Nightmare,DS,2007-09-04,70,8.4,Shin'en,"Action,Platformer,Platformer,2D,2D",No info,9,24
10374,Starpoint Gemini 2,PC,2013-09-06,70,8.4,LittleGreenMen,"Strategy,Real-Time,Sci-Fi,General",No info,19,150
689,Horizon Zero Dawn,PlayStation4,2017-02-28,89,8.4,Guerrilla,"Role-Playing,Action RPG",No Online Multiplayer,115,9400
1321,Final Fantasy XII: The Zodiac Age,PlayStation4,2017-07-11,86,8.4,SquareEnix,"Role-Playing,Japanese-Style",No Online Multiplayer,75,558
8926,Sword of Mana,GameBoyAdvance,2003-12-01,72,8.4,BrownieBrown,"Role-Playing,Action RPG",1-2 ,31,30
3932,LEGO The Lord of the Rings,Xbox360,2012-11-13,80,8.4,TTGames,"Miscellaneous,Action Adventure,Adventure,General,Fantasy,General,Compilation,Linear",No Online Multiplayer,49,89
12815,Brothers in Arms: D-Day,PSP,2006-12-05,65,8.4,UbisoftShanghai,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",1-2 ,19,71
2031,Frostpunk,PC,2018-04-24,84,8.4,11bitstudios,"Action Adventure,Survival",No Online Multiplayer,67,677
2023,Europa Universalis IV: Wealth of Nations,PC,2014-05-29,84,8.4,ParadoxDevelopmentStudio,"Strategy,Real-Time,General,Historic",No info,9,28
476,Super Mario 3D Land,3DS,2011-11-13,90,8.4,Nintendo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,82,1239
4306,UEFA EURO 2008,Xbox360,2008-05-19,80,8.4,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",Up to 8 ,45,20
1990,MotoGP,Xbox,2002-05-19,84,8.4,ClimaxGroup,"Driving,Racing,Motorcycle,Street",1-4 ,18,16
696,What Remains of Edith Finch,PC,2017-04-24,89,8.4,GiantSparrow,"Adventure,3D,First-Person",No Online Multiplayer,23,640
1971,Guild Wars Factions,PC,2006-04-28,84,8.4,ArenaNet,"Role-Playing,General,General,Massively Multiplayer",64+  Online,39,140
9207,Super Robot Taisen: Original Generation,GameBoyAdvance,2006-08-08,72,8.4,Banpresto,"Strategy,Turn-Based,Sci-Fi",1 Player,13,7
1968,Devil May Cry 4,Xbox360,2008-02-05,84,8.4,Capcom,"Action,Action Adventure,Shooter,Fantasy,General,Fantasy,Linear,Third-Person,Fantasy",No Online Multiplayer,61,342
1965,The Elder Scrolls V: Skyrim,Switch,2017-11-17,84,8.4,"BethesdaGameStudios,IronGalaxyStudios","Role-Playing,Western-Style",No Online Multiplayer,63,543
